                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4155,                 2.2623,                 1.6576,                0.73265,                 0.6829,                0.74467,                  0.453,                 1.2345,                 1.5943,                 1.4906,             0.00066197,             0.00066197,             0.00066197
                      2,                 1.4794,                 2.1094,                 1.6926,                0.72346,                0.66884,                0.73804,                0.44331,                 1.3025,                 1.7786,                 1.5431,              0.0013155,              0.0013155,              0.0013155
                      3,                 1.4793,                 1.9165,                 1.6532,                0.72917,                0.57605,                0.68369,                0.40351,                 1.2962,                 2.5692,                 1.5484,              0.0019558,              0.0019558,              0.0019558
                      4,                 1.6459,                  2.204,                 1.7959,                0.45487,                0.45955,                0.43118,                0.20797,                 1.6922,                 2.3731,                 2.0148,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.649,                 2.3161,                 1.8557,                0.31735,                0.39482,                0.26877,                0.11559,                 1.9035,                 4.7754,                 2.3833,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5679,                 2.0293,                 1.7746,                0.67755,                0.53722,                0.63006,                0.34507,                    1.5,                 2.3668,                 1.8311,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.6992,                 2.2028,                 1.8818,                0.43982,                0.30421,                0.32639,                0.15738,                 1.6323,                  3.364,                 1.9201,               0.001901,               0.001901,               0.001901
                      8,                 1.6032,                 2.2416,                 1.7964,                0.42861,                0.44984,                0.40514,                0.19745,                 1.6515,                 3.2864,                 1.9468,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6274,                 2.0173,                 1.8019,                0.66958,                0.61646,                 0.6467,                0.36144,                 1.4469,                 1.8621,                 1.7424,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6111,                 2.1708,                 1.7707,                0.49646,                0.52751,                0.47017,                0.25595,                 1.5103,                 2.0815,                 1.7804,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6117,                  2.145,                 1.8163,                0.43561,                0.50809,                0.44048,                0.24055,                  1.479,                 2.7741,                  1.786,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5512,                 1.9795,                 1.7542,                0.56156,                0.60102,                 0.5879,                0.31292,                  1.546,                 1.8645,                 1.8262,               0.001802,               0.001802,               0.001802
